id,titulo_original,titulo_revisado,autor,afiliação,orcid,key_file
3,Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Nuno A. Silva,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal. Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal. ",https://orcid.org/0000-0002-1061-1716,21500-2102-17427-1-10-20220825
3,Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Armando N.Pinto,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal. ",,21500-2102-17427-1-10-20220825
4,Desafios e Oportunidades rumo `a Internet Quântica,Desafios e Oportunidades rumo à Internet Quântica,Antônio J. G. Abelém,Universidade Federal do Pará (UFPA),https://orcid.org/0000-0003-4085-6674,17221-2102-13812-1-10-20210916
4,Desafios e Oportunidades rumo `a Internet Quântica,Desafios e Oportunidades rumo à Internet Quântica,Christian R. Esteve Rothenberg,Universidade Estadual de Campinas (Unicamp),https://orcid.org/0000-0003-3109-4305,17221-2102-13812-1-10-20210916
5,Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,Moniele S. Sousa,Programa de Pós-graduação em Ciência da Computação Universidade Federal de Uberlândia (UFU) 38408-100 – Uberlândia – MG – Brazil,,17220-2102-13811-1-10-20210916
5,Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,Alex F. de Paulo,"Faculdade de Informação e Comunicação Universidade Federal de Goiás, Goiânia, GO – Brazil",,17220-2102-13811-1-10-20210916
5,Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,Flávio de O. Silva,Programa de Pós-graduação em Ciência da Computação Universidade Federal de Uberlândia (UFU) 38408-100 – Uberlândia – MG – Brazil,,17220-2102-13811-1-10-20210916
5,Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,João H. de S. Pereira,Programa de Pós-graduação em Ciência da Computação Universidade Federal de Uberlândia (UFU) 38408-100 – Uberlândia – MG – Brazil,,17220-2102-13811-1-10-20210916
6,Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,David Tavares,Universidade Federal do Pará (UFPA),,26633-2174-22007-1-10-20231218
6,Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,Arthur Pimentel,Universidade Federal do Pará (UFPA),,26633-2174-22007-1-10-20231218
6,Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,Diego Abreu,Universidade Federal do Pará (UFPA),https://orcid.org/0000-0003-3969-8322,26633-2174-22007-1-10-20231218
6,Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,Antônio Abelém,Universidade Federal do Pará (UFPA),https://orcid.org/0000-0003-4085-6674,26633-2174-22007-1-10-20231218
7,The Rio Quantum Network: a reconfigurable hybrid multi-user metropolitan quantum key distribution network,The Rio Quantum Network: a reconfigurable hybrid multi-user metropolitan quantum key distribution network,Guilherme P. Temporão,"Departamento de Eng. Elétrica, Pontifícia Universidade Católica do Rio de Janeiro Rio de Janeiro, RJ – Brazil",https://orcid.org/0000-0002-5244-3394,30009-2546-24449-1-10-20240828
7,The Rio Quantum Network: a reconfigurable hybrid multi-user metropolitan quantum key distribution network,The Rio Quantum Network: a reconfigurable hybrid multi-user metropolitan quantum key distribution network,Fernando R. V. Bandeira de Melo,"Centro Brasileiro de Pesquisas Físicas Rio de Janeiro, RJ – Brazil",https://orcid.org/0000-0002-8523-1048,30009-2546-24449-1-10-20240828
7,The Rio Quantum Network: a reconfigurable hybrid multi-user metropolitan quantum key distribution network,The Rio Quantum Network: a reconfigurable hybrid multi-user metropolitan quantum key distribution network,Antonio Z. Khoury,"Departamento de Física, Universidade Federal Fluminense Niterói, RJ – Brazil",https://orcid.org/0000-0002-7487-5067,30009-2546-24449-1-10-20240828
8,Optical simulation of Markovian quantum channels,Optical simulation of Markovian quantum channels,Marcello H. Passos,"Instituto de Física, Universidade Federal Fluminense (UFF) Av. Gal. Milton Tavares de Souza s/n, Gragoatá, 24210-346, Niterói, RJ – Brasil, Instituto de Ciências Exatas, Universidade Federal Fluminense (UFF) Rua De. Ellis Hermydio Figureia, 783, 27213-145, Volta Redonda RJ Brasil",,30006-2546-24446-2-10-20240903
8,Optical simulation of Markovian quantum channels,Optical simulation of Markovian quantum channels,Paola C. Obando,"Instituto de Física, Universidade Federal Fluminense (UFF) Av. Gal. Milton Tavares de Souza s/n, Gragoatá, 24210-346, Niterói, RJ – Brasil",,30006-2546-24446-2-10-20240903
8,Optical simulation of Markovian quantum channels,Optical simulation of Markovian quantum channels,Fagner M. Paula,"Centro de Ciências Naturais e Humanas, Universidade Federal do ABC (UFABC) Avenida dos Estados 5001, 09210-580, Santo André, São Paulo – Brasil",,30006-2546-24446-2-10-20240903
8,Optical simulation of Markovian quantum channels,Optical simulation of Markovian quantum channels,José A.O. Huguenin,"Instituto de Física, Universidade Federal Fluminense (UFF) Av. Gal. Milton Tavares de Souza s/n, Gragoatá, 24210-346, Niterói, RJ – Brasil, Instituto de Ciências Exatas, Universidade Federal Fluminense (UFF) Rua De. Ellis Hermydio Figureia, 783, 27213-145, Volta Redonda RJ Brasil",,30006-2546-24446-2-10-20240903
9,Desafios e Oportunidades de Pesquisa para o Roteamento em Redes Quânticas,Desafios e Oportunidades de Pesquisa para o Roteamento em Redes Quânticas,Diego Abreu,Universidade Federal do Pará (UFPA),https://orcid.org/0000-0003-3969-8322,21499-2102-17426-1-10-20220825
9,Desafios e Oportunidades de Pesquisa para o Roteamento em Redes Quânticas,Desafios e Oportunidades de Pesquisa para o Roteamento em Redes Quânticas,Antônio Abelém,Universidade Federal do Pará (UFPA),https://orcid.org/0000-0003-4085-6674,21499-2102-17426-1-10-20220825
9,Desafios e Oportunidades de Pesquisa para o Roteamento em Redes Quânticas,Desafios e Oportunidades de Pesquisa para o Roteamento em Redes Quânticas,Christian R. Esteve Rothenberg,Universidade Estadual de Campinas (Unicamp),https://orcid.org/0000-0003-3109-4305,21499-2102-17426-1-10-20220825
10,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Multiprotocolo,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Multiprotocolo,Arthur Pimentel,"Instituto de Ciências Exatas Universidade Federal do Pará UFPA, Belém, Pará",,29866-301-24307-1-10-20240810
10,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Multiprotocolo,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Multiprotocolo,Diego Abreu,"Instituto de Ciências Exatas Universidade Federal do Pará UFPA, Belém, Pará",,29866-301-24307-1-10-20240810
10,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Multiprotocolo,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Multiprotocolo,Antônio Abelém,"Instituto de Ciências Exatas Universidade Federal do Pará UFPA, Belém, Pará",https://orcid.org/0000-0003-4085-6674,29866-301-24307-1-10-20240810
11,Efficient Randomness Extraction in Quantum Random Number Generators,Efficient Randomness Extraction in Quantum Random Number Generators,Maurício J. Ferreira,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal. / Physics Department – University of Coimbra, R. Larga 2, 3000-370 Coimbra.",,21498-2102-17425-1-10-20220825
11,Efficient Randomness Extraction in Quantum Random Number Generators,Efficient Randomness Extraction in Quantum Random Number Generators,Nuno A. Silva,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal. / Physics Department – University of Coimbra, R. Larga 2, 3000-370 Coimbra.",https://orcid.org/0000-0002-1061-1716,21498-2102-17425-1-10-20220825
11,Efficient Randomness Extraction in Quantum Random Number Generators,Efficient Randomness Extraction in Quantum Random Number Generators,Nelson J. Muga,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal. Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal. ",https://orcid.org/0000-0003-4412-8025,21498-2102-17425-1-10-20220825
12,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Definidas por Software,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Definidas por Software,Arthur Pimentel,Universidade Federal do Pará (UFPA),,31631-2606-25940-1-10-20241121
12,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Definidas por Software,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Definidas por Software,Diego Abreu,Universidade Federal do Pará (UFPA),https://orcid.org/0000-0003-3969-8322,31631-2606-25940-1-10-20241121
